"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.125755463549508,0.125015268325893,0.0929685482297385,0.16185435800367,"Global"
"O1.v2",0.219738042072205,0.219108828575312,0.176849405439807,0.266619626127384,"Global"
"O2a.v1",0.075105116684038,0.0743162270382336,0.048675054066399,0.105707260172549,"Global"
"O2afg.v2",0.400990696522391,0.400950672364991,0.352517353771037,0.449339583770785,"Global"
"O3/O3a",0.00943647833807729,0.00853434199178471,0.00194192512181592,0.0226498470301798,"Global"
"O3b",0.018852236931402,0.017908803173637,0.0070846797674281,0.0361616789070608,"Global"
"O4",0.0753384945450741,0.0747059642084034,0.0501215224380773,0.104528951901356,"Global"
"O5",0.0438816598261556,0.0428951720377237,0.0241069487403119,0.0685795793109509,"Global"
"OL103",0.00940840732792648,0.00842510707534479,0.00202582008405199,0.0224660211168672,"Global"
"OL104",0.00314506254906721,0.00218394653578389,8.19030897702871e-05,0.0114988018669853,"Global"
"OL13",0.0187920551049391,0.0178389954434001,0.00693225885153361,0.0360899285513502,"Global"
