"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.0881257486122078,0.0867265223293415,0.0542235131008231,0.129105855995801
"O1.v1","Southern Africa",0.0936097721518535,0.0867401922747226,0.0264981879483606,0.19950569683832
"O1.v1","Southern Asia",0.222733004599329,0.218549298995799,0.122250541866004,0.34701201285108
"O1.v1","Western Africa",0.307402638250205,0.302757683759943,0.163990017492126,0.474695505841224
"O1.v2","Eastern Africa",0.18885782707481,0.187966977734679,0.139012464021807,0.24359717939018
"O1.v2","Southern Africa",0.297183562579744,0.29259940028641,0.166215930120903,0.447950735778521
"O1.v2","Southern Asia",0.210120387627017,0.205258275961773,0.11167051003528,0.330052030391365
"O1.v2","Western Africa",0.287083418948585,0.281672794327224,0.151287317007157,0.447856408057432
"O2a.v1","Eastern Africa",0.0671641623104348,0.0656200017829565,0.0373596904444279,0.105265508087903
"O2a.v1","Southern Africa",0.0393511911348341,0.0326067929294816,0.00472391270166375,0.112042430800417
"O2a.v1","Southern Asia",0.100779171844741,0.0959030940566355,0.0367963124619914,0.19283329781188
"O2a.v1","Western Africa",0.119904261302302,0.112753616440366,0.0379112859567809,0.245416275886605
"O2afg.v2","Eastern Africa",0.549019830174918,0.549327861956768,0.481682829515897,0.616700849310456
"O2afg.v2","Southern Africa",0.215391434902956,0.210405649157505,0.101912194681857,0.357367393762184
"O2afg.v2","Southern Asia",0.0464877905826367,0.0409778122932478,0.00735987474035949,0.117600876435457
"O2afg.v2","Western Africa",0.138331979898745,0.131642892502459,0.046886201374112,0.268926764407728
"O3/O3a","Eastern Africa",0.00647499815053839,0.00516597900016366,0.000672296321438194,0.0195711626054258
"O3/O3a","Southern Africa",0.00948271944655598,0.00529447211092294,0.000207202707050239,0.0429660242318591
"O3/O3a","Southern Asia",0.0318353712671235,0.0263274614923903,0.00426972395907019,0.0902910516359025
"O3/O3a","Western Africa",0.0241784711671198,0.0173014378071421,0.0015258109806582,0.0868606442450219
"O3b","Eastern Africa",0.0213569934961728,0.0200050885081512,0.00673614308036198,0.0448376228658743
"O3b","Southern Africa",0.00958934347417608,0.00540480774337973,0.000158519918070094,0.0435968986405666
"O3b","Southern Asia",0.0103759397419952,0.00645471268135003,0.000262008674250774,0.0427527144966321
"O3b","Western Africa",0.0242830986806269,0.017166069918343,0.00148333386543502,0.0864705976734097
"O4","Eastern Africa",0.0272866902771662,0.0258505699115858,0.0101912308320294,0.0525346785824888
"O4","Southern Africa",0.174361398423719,0.169043001243826,0.0750434252979422,0.30691419862585
"O4","Southern Asia",0.269245191003149,0.266209885553045,0.157891872722951,0.399117575181618
"O4","Western Africa",0.029800422390028,0.022456587773168,0.00176026393926931,0.098554461673318
"O5","Eastern Africa",0.0293158673193265,0.027851992079102,0.0115749784140081,0.0554177986871012
"O5","Southern Africa",0.139149329961022,0.133378568770215,0.052060000655712,0.262486127437166
"O5","Southern Asia",0.0449177021688075,0.0393424996255572,0.00876026965816231,0.11113487721142
"O5","Western Africa",0.0223067889407729,0.0158311614076208,0.00105916463681892,0.0793979239474428
"OL103","Eastern Africa",0.00282894661138605,0.00177409129642518,6.32310527912397e-05,0.0115483570745081
"OL103","Southern Africa",0.00658354477122713,0.00314755942571257,6.7368054998043e-05,0.0334787928900148
"OL103","Southern Asia",0.0402807709289891,0.0346401602831255,0.00621726123118699,0.106782368144048
"OL103","Western Africa",0.0078912634343685,0.00394322705006447,0.00010090175823732,0.0389631506225781
"OL104","Eastern Africa",0.00163098859163585,0.000775636104010061,1.13387116162931e-05,0.00815647155105402
"OL104","Southern Africa",0.00333900394086034,0.0011466181325786,1.32211938634437e-05,0.0202155352519702
"OL104","Southern Asia",0.00386790592727942,0.00156269549089155,1.85573676103866e-05,0.0213544716509877
"OL104","Western Africa",0.0114025634743172,0.00553847925166221,0.000106462057937457,0.0566490900588065
"OL13","Eastern Africa",0.0180599618765386,0.0166281192994371,0.005325197250328,0.0384457882072201
"OL13","Southern Africa",0.0108140960429213,0.00643821271131371,0.000270908887458913,0.0457911643927345
"OL13","Southern Asia",0.0216658739378909,0.0168702520949126,0.00193541314573496,0.0695198956973713
"OL13","Western Africa",0.0270177094614181,0.0199418135612663,0.00207288116649989,0.0906902000981825
