"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.267361076875292,0.26716658785084,0.236489079414689,0.298848324719144,"Global"
"O1.v2",0.218308343159552,0.21792936968641,0.190877065470253,0.247965320502049,"Global"
"O1.v3",0.00120965405912355,0.000842780528958598,3.1157620465816e-05,0.00446214783995252,"Global"
"O12",0.00248017348501699,0.00209417119430646,0.000310745831269741,0.00683211623580008,"Global"
"O2a.v1",0.0614753457815702,0.0611046691382439,0.0458227882841962,0.0793960272017477,"Global"
"O2a.v3",0.00122123043148255,0.000844399003884781,3.34477889351239e-05,0.00439123222792209,"Global"
"O2afg.v2",0.158434049479794,0.158036904949729,0.135042163274737,0.183946778380349,"Global"
"O3/O3a",0.0282769321134487,0.0279462029017046,0.0180584214228463,0.0404790865188661,"Global"
"O3b",0.0600855838459088,0.0597182444701905,0.0449163437631894,0.077514188092129,"Global"
"O4",0.0908084602070491,0.0904742312924794,0.0720223996210967,0.111272210741722,"Global"
"O5",0.0538611696620551,0.053463117131587,0.0394368811396145,0.0702134995983248,"Global"
"OL102",0.00123241533375397,0.000853286933079383,3.18487815554212e-05,0.00442208440930018,"Global"
"OL103",0.00245811251043163,0.00205787915638993,0.000282435782079912,0.00691038322058564,"Global"
"OL104",0.00368921843903583,0.00329368957091084,0.000744355746263355,0.00893472395726652,"Global"
"OL13",0.048996397311349,0.0486945142903931,0.0352287921066675,0.0647029052633879,"Global"
