"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.28644787661823,0.286154671881651,0.24144702094064,0.334045132335024
"O1.v1","Southern Africa",0.274727162646391,0.27371992490753,0.209217024676276,0.347664424265813
"O1.v1","Southern Asia",0.225639717328413,0.224711988801137,0.175083418153146,0.280850506917014
"O1.v1","Western Africa",0.297822781544402,0.295148123999465,0.193590517401858,0.415064532687769
"O1.v2","Eastern Africa",0.222581554996628,0.221757824094175,0.182536781841416,0.266847947163128
"O1.v2","Southern Africa",0.227903629806123,0.226626695394612,0.168033737841239,0.295906574198664
"O1.v2","Southern Asia",0.195967448949248,0.194751889979871,0.149029342390501,0.247903873867552
"O1.v2","Western Africa",0.259331412992596,0.25699506544481,0.160756137782097,0.373154977974614
"O1.v3","Eastern Africa",0.00125954769176449,0.000816811819477096,2.76294646689735e-05,0.00506635212825466
"O1.v3","Southern Africa",0.000985791066634587,0.000550018970661302,1.66839477688047e-05,0.0045620841627602
"O1.v3","Southern Asia",0.00128221936895383,0.000783142123898888,2.59833446853382e-05,0.0054530540467505
"O1.v3","Western Africa",0.00117410682446231,0.00063431594289149,1.98573638825018e-05,0.00563206261383577
"O12","Eastern Africa",0.00230566931760559,0.00178765450699077,0.000217807083730009,0.0073912329709583
"O12","Southern Africa",0.00192056655627698,0.00134504419737966,0.000129164698301386,0.00704489618200263
"O12","Southern Asia",0.00314084658732252,0.00238809060012205,0.000295293506556717,0.010128370899248
"O12","Western Africa",0.00234993114447831,0.00154542402637309,0.000145547117054426,0.00909867090175059
"O2a.v1","Eastern Africa",0.0514153775219525,0.0505872823703979,0.0319334188054557,0.0751769987278799
"O2a.v1","Southern Africa",0.034587548333752,0.0329152957757885,0.0139532652508494,0.0639524892620424
"O2a.v1","Southern Asia",0.0959255878338929,0.094620666166564,0.0631227646074868,0.135488050492512
"O2a.v1","Western Africa",0.0548873137960767,0.0512928719903362,0.0196062545273286,0.111152347533519
"O2a.v3","Eastern Africa",0.00126798336125776,0.000812449395815609,3.01575520430094e-05,0.00517577472003831
"O2a.v3","Southern Africa",0.00100563385358183,0.00056408240537215,1.73559054069168e-05,0.00461129844835582
"O2a.v3","Southern Asia",0.00128747346369884,0.000785765577420859,2.64726095943732e-05,0.00532053219751742
"O2a.v3","Western Africa",0.00121147397241657,0.000633752771002468,1.96410793009483e-05,0.00592844587869094
"O2afg.v2","Eastern Africa",0.195437985516888,0.194876295589965,0.157958718805741,0.23645351654207
"O2afg.v2","Southern Africa",0.18306606353859,0.18154683904646,0.127834439553023,0.245960590390711
"O2afg.v2","Southern Asia",0.0877270460330679,0.0865316372522763,0.0560815902181388,0.127217149286293
"O2afg.v2","Western Africa",0.145209712901553,0.14137540927212,0.0750025961104069,0.235962317120031
"O3/O3a","Eastern Africa",0.0173900230447483,0.0166536300891405,0.00763544520888042,0.0312113342504171
"O3/O3a","Southern Africa",0.0256824761527322,0.0241524338989234,0.00969727465317167,0.050235134320939
"O3/O3a","Southern Asia",0.0463352190596006,0.0450946241719173,0.0251724717824945,0.0744044901917313
"O3/O3a","Western Africa",0.0312201869750256,0.0278349546651968,0.00879642122469852,0.0719053596251711
"O3b","Eastern Africa",0.0626073554775132,0.0619588230544082,0.0410183320862048,0.088433765838635
"O3b","Southern Africa",0.0339422766894558,0.0324048216074308,0.0140289741252916,0.0628779328645616
"O3b","Southern Asia",0.0741580965430636,0.0729873500020762,0.0456515858444434,0.109222506326052
"O3b","Western Africa",0.054164762472124,0.0503741246290236,0.0189810156299989,0.109992159103663
"O4","Eastern Africa",0.073206282966296,0.072447030044848,0.0497291087114167,0.100581291916454
"O4","Southern Africa",0.0723557269292746,0.0704588664037027,0.0398082651129732,0.11457414773572
"O4","Southern Asia",0.137940899898204,0.136864662675133,0.098382975683367,0.183538902443823
"O4","Western Africa",0.0574263593288731,0.0540069309720165,0.0192104404410595,0.115551184750274
"O5","Eastern Africa",0.0329774460667067,0.0321948970106514,0.0181344514328815,0.0522762277114729
"O5","Southern Africa",0.120692177683027,0.119103731748941,0.0742993660755415,0.176106693492004
"O5","Southern Asia",0.0494714119046571,0.0481997591721796,0.0272008402970795,0.078226453811864
"O5","Western Africa",0.0305454524767141,0.0276036485710942,0.00729494690727999,0.0704463081407832
"OL102","Eastern Africa",0.000996710800788249,0.000616105146935538,1.98597716882451e-05,0.00409712152352174
"OL102","Southern Africa",0.00101946701496526,0.000569620346466555,1.63072941939975e-05,0.00474253101627348
"OL102","Southern Asia",0.00174067176277216,0.00110746793566107,3.73014408160676e-05,0.00685943291193427
"OL102","Western Africa",0.00122115185599089,0.000643514493682194,1.92386361007365e-05,0.00578945343305492
"OL103","Eastern Africa",0.00176327527134635,0.00132751980078632,0.000144374068736135,0.0058741142823028
"OL103","Southern Africa",0.00189087644866855,0.001306075163726,0.000120748954527947,0.00720318093193438
"OL103","Southern Asia",0.00394833107198848,0.00309609298532291,0.000379376819502616,0.0123379174322347
"OL103","Western Africa",0.00229357249546753,0.00152272284580144,0.000145151050060865,0.00885524372117182
"OL104","Eastern Africa",0.00327312428438111,0.00272737050617496,0.000488376383726183,0.00920124454442302
"OL104","Southern Africa",0.00291487902556357,0.00220408703651621,0.000323393594274491,0.00965358898580187
"OL104","Southern Asia",0.00451927341298386,0.0037166231864083,0.000656127947904965,0.0127987143989528
"OL104","Western Africa",0.00505265931431194,0.00359954034665453,0.00051126215051875,0.0184292697067304
"OL13","Eastern Africa",0.0469231897695671,0.0461165843836782,0.0288918259441201,0.0695406775066837
"OL13","Southern Africa",0.0172349251569799,0.0157977793008901,0.00436077503178024,0.0380553764707499
"OL13","Southern Asia",0.0709132814022003,0.0698353195152569,0.0439038621324757,0.10537871801209
"OL13","Western Africa",0.0557766513353647,0.0515435551008243,0.019763005409895,0.116326879750905
