"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.278386634884305,0.278303471623827,0.252824622427367,0.304766295958609
"O1.v1","Southern Africa",0.276946653187295,0.27597127482259,0.223652256782893,0.335550643745621
"O1.v1","Southern Asia",0.193209348270528,0.192667679676505,0.159618684292869,0.229105048373975
"O1.v1","Western Africa",0.337791190073102,0.336468011420806,0.238006480777166,0.44423565801522
"O1.v2","Eastern Africa",0.192049194408743,0.191920042125639,0.169720504149465,0.216081216975776
"O1.v2","Southern Africa",0.212062128352162,0.211105533655548,0.164340847426713,0.264745094406282
"O1.v2","Southern Asia",0.12201744185937,0.121522968767257,0.094613337923362,0.152124850844895
"O1.v2","Western Africa",0.220808936934725,0.218108441118971,0.136773817211767,0.317661388048463
"O1.v3","Eastern Africa",0.00265049160611179,0.00236948964256184,0.000645676205023978,0.00621535851758692
"O1.v3","Southern Africa",0.00110228094872777,0.000656252472122788,3.65706283904197e-05,0.00474704246492779
"O1.v3","Southern Asia",0.00127858482821384,0.000897377337094404,7.52844349742721e-05,0.00467346954994252
"O1.v3","Western Africa",0.00181013631749102,0.000959439456316891,5.57689312384299e-05,0.00888878226532141
"O12","Eastern Africa",0.000810293725699298,0.000606702099808637,6.34494035963513e-05,0.00269403927434868
"O12","Southern Africa",0.00080713573766238,0.000418319570580891,2.00748135286565e-05,0.00409176558806618
"O12","Southern Asia",0.00163594658018891,0.00118921943174879,0.000109225836339295,0.00568346370870573
"O12","Western Africa",0.00131336050162466,0.00059893076149127,2.659921864626e-05,0.00724733326166161
"O2a.v1","Eastern Africa",0.0506009039482542,0.050300581015344,0.0387407773939608,0.0641354868354075
"O2a.v1","Southern Africa",0.0195931172007783,0.0184236244337293,0.00682760924644821,0.0389749788244846
"O2a.v1","Southern Asia",0.0651311620061,0.0645742223326491,0.0454485971700641,0.0887695464629076
"O2a.v1","Western Africa",0.0730484747902128,0.0697420950586,0.0287291537099774,0.136700058187324
"O2a.v3","Eastern Africa",0.000521368864785479,0.000322880196300037,9.71694797698278e-06,0.00214285035879986
"O2a.v3","Southern Africa",0.000439997293490037,0.000170678959463837,2.82512332934674e-06,0.0026052834680258
"O2a.v3","Southern Asia",0.000563790332835619,0.000275261125245073,6.72853435837198e-06,0.00281757638286558
"O2a.v3","Western Africa",0.000679063692411117,0.000236024921773595,4.06249772169579e-06,0.00397722587976638
"O2afg.v2","Eastern Africa",0.330628243288111,0.330516547687304,0.303676243808808,0.358178774297593
"O2afg.v2","Southern Africa",0.167353005284559,0.166300221643767,0.123831485379544,0.216805114547599
"O2afg.v2","Southern Asia",0.0981383357574385,0.0974293315999434,0.0741073487673539,0.126292561735951
"O2afg.v2","Western Africa",0.160828024843499,0.158132472106277,0.089790953036416,0.247682088853612
"O3/O3a","Eastern Africa",0.0055787829770145,0.00529552399017438,0.00218943684801872,0.0104764878510852
"O3/O3a","Southern Africa",0.0230437286927799,0.0218795901597854,0.00886555319576051,0.044320636371152
"O3/O3a","Southern Asia",0.041797922041433,0.0412773305747968,0.02609754333489,0.0607792834043531
"O3/O3a","Western Africa",0.0337559917439695,0.0306187743051033,0.00874628925363356,0.0776312255757938
"O3b","Eastern Africa",0.0215960383612747,0.0213403387791217,0.0139029807621634,0.030648387116684
"O3b","Southern Africa",0.0211963827209124,0.0200637089604395,0.00778049358795793,0.0419130972574191
"O3b","Southern Asia",0.0428150535522793,0.0422952263692425,0.0268567223897262,0.0614741380666285
"O3b","Western Africa",0.0473512354148149,0.043660861723445,0.014982732375973,0.100493471844894
"O4","Eastern Africa",0.0681855954258253,0.0679855828412805,0.0542442384406828,0.0833993930894912
"O4","Southern Africa",0.136649854903335,0.135517113230748,0.0967411697551631,0.182574883053979
"O4","Southern Asia",0.281367437192203,0.28105998565585,0.242380864721902,0.322488063071118
"O4","Western Africa",0.0423771301950079,0.038895925981418,0.0114751833956642,0.093338850082571
"O5","Eastern Africa",0.0199133012348472,0.0196602760463041,0.0126161713175287,0.0286423199554236
"O5","Southern Africa",0.130869949465647,0.130075275455398,0.0914020965899775,0.175714040693901
"O5","Southern Asia",0.0256962579147685,0.0250931059591977,0.0139287122880916,0.041219442725738
"O5","Western Africa",0.0144993744231162,0.0116013072757629,0.00157121985662074,0.0447328541845882
"OL102","Eastern Africa",0.000293763296562594,0.000156941338676362,3.78427964266566e-06,0.00139769465166251
"OL102","Southern Africa",0.000435719343102082,0.00017233025009544,3.64575895122719e-06,0.00253840370755686
"OL102","Southern Asia",0.00103023757144164,0.000629626218383113,2.18213185516521e-05,0.00435324497471664
"OL102","Western Africa",0.000679048805087047,0.000243194680597046,4.54114939247055e-06,0.00404834935296085
"OL103","Eastern Africa",0.000838631836203167,0.000631415679751701,5.76986593918546e-05,0.00282100745211728
"OL103","Southern Africa",0.0015308983866795,0.000980247573202824,6.65100942851691e-05,0.00634546775280862
"OL103","Southern Asia",0.0112312358541933,0.0105760477071321,0.00414235001692494,0.0219272242846146
"OL103","Western Africa",0.00259744923526942,0.00151339267010441,8.55903357849596e-05,0.011436207407601
"OL104","Eastern Africa",0.00111489809055199,0.000894766974630187,0.000132116314047035,0.00334366847146247
"OL104","Southern Africa",0.00127528538466958,0.00077474222906937,5.32449508748434e-05,0.00546851473993764
"OL104","Southern Asia",0.00227658684231385,0.00179451375582691,0.000250190185858961,0.00723042921478164
"OL104","Western Africa",0.00437139709185473,0.00266801822526551,0.000217160395955773,0.0187067142548368
"OL13","Eastern Africa",0.0267620660935207,0.026516759234929,0.0182244787084694,0.0369253916730926
"OL13","Southern Africa",0.0067228932562365,0.00565590342571664,0.000899792927708859,0.018532856347962
"OL13","Southern Asia",0.111815638823914,0.111229533184326,0.0853817253823659,0.141345722699425
"OL13","Western Africa",0.0583310048628942,0.0548001861665726,0.0209700811495229,0.115500709218542
