"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.259207741207533,0.259241762379742,0.239484090612064,0.278885998388241,"Global"
"O1.v2",0.177757312427198,0.177569388085952,0.161445782650641,0.194852193726501,"Global"
"O1.v3",0.00207187985290786,0.00190264043341546,0.00054317171086483,0.00459076515292839,"Global"
"O12",0.00104140838384903,0.000870849325114053,0.000130667760634322,0.00291019956975145,"Global"
"O2a.v1",0.0513209395353103,0.0511839402592216,0.0418742032425901,0.0617420783970827,"Global"
"O2a.v3",0.000517233311052103,0.000357004623560955,1.28234964026354e-05,0.00191574754760876,"Global"
"O2afg.v2",0.244030625984862,0.243927810568203,0.22607497205873,0.262984061399562,"Global"
"O3/O3a",0.0181397049573581,0.018028546996547,0.012556286069288,0.0243695851726276,"Global"
"O3b",0.0280015104592067,0.0278350650744479,0.0213168589266335,0.0356164605539864,"Global"
"O4",0.129976521188101,0.12989222497512,0.115820279868247,0.144890210300476,"Global"
"O5",0.0352839222901304,0.0351566046522779,0.0276326197652299,0.0437213690332675,"Global"
"OL102",0.000518126722645944,0.000358095355310391,1.2460950654729e-05,0.00185718181209405,"Global"
"OL103",0.00362710545159783,0.00346469995882731,0.00144889701514059,0.00667508814788873,"Global"
"OL104",0.00155904946613841,0.00138665307736846,0.00033129716165129,0.00373972434652304,"Global"
"OL13",0.047121014628271,0.047006274358646,0.0383332029366635,0.056733234083098,"Global"
