"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.263673754636506,0.263395597952383,0.23384943492025,0.294215579269339,"Global"
"O1.v2",0.219342597243044,0.219100591558876,0.191488713059635,0.24935525033789,"Global"
"O1.v3",0.00126084769708798,0.000873117818131702,2.90507719791354e-05,0.00468035775658151,"Global"
"O12",0.00250284802902271,0.00211471386842543,0.000322657004709945,0.00690087969907029,"Global"
"O2a.v1",0.0645171391323165,0.0641306751878996,0.0489492189709763,0.0824300259323621,"Global"
"O2a.v3",0.0012689334296725,0.00086782366287856,3.51204741632577e-05,0.00477160224264367,"Global"
"O2afg.v2",0.158873202369465,0.158634996593942,0.134112418920037,0.18463853529779,"Global"
"O3/O3a",0.0302597056456692,0.029878484256833,0.019693277938483,0.0430259499744687,"Global"
"O3b",0.058133813430418,0.0576471294564639,0.0429076296994274,0.076020727388447,"Global"
"O4",0.0856135437436028,0.0852974790733574,0.0673194063793494,0.10571999853462,"Global"
"O5",0.0567515815311112,0.0563185891579153,0.0419120715332547,0.0736902530998806,"Global"
"OL102",0.00127058181239497,0.000872904064892173,3.431281810994e-05,0.0046432050512769,"Global"
"OL103",0.00253233024223174,0.00212134711985161,0.000327238084354242,0.00694310255976541,"Global"
"OL104",0.00379830153941552,0.0034014768915972,0.000793910360726914,0.00917706171384086,"Global"
"OL13",0.0505580989476705,0.0501108692785458,0.0365111102738748,0.0669349877230063,"Global"
