"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.284529497294217,0.284413334830849,0.23984441041716,0.332306260018341
"O1.v1","Southern Africa",0.262677304299975,0.261453608901502,0.199041625278324,0.332145613051705
"O1.v1","Southern Asia",0.22474853077823,0.224217598969459,0.17493930302992,0.2780981278293
"O1.v1","Western Africa",0.297075722981324,0.294250646111511,0.196177249075676,0.415185631109771
"O1.v2","Eastern Africa",0.228087015697485,0.227582664812766,0.187179555067066,0.272483845754589
"O1.v2","Southern Africa",0.222414217848331,0.221275030968389,0.162719657089503,0.288195829455045
"O1.v2","Southern Asia",0.194566057739076,0.193375544374774,0.14769408335538,0.247529451382309
"O1.v2","Western Africa",0.259589776518579,0.257212747468434,0.162401064780613,0.370535915257186
"O1.v3","Eastern Africa",0.00130857800818959,0.000836282414813817,2.68405987167811e-05,0.00531170765627614
"O1.v3","Southern Africa",0.00103108260628669,0.000566597478005881,1.65880012132772e-05,0.00479805650571296
"O1.v3","Southern Asia",0.00134508752384138,0.000804220626984046,2.10639853653862e-05,0.00577841488562548
"O1.v3","Western Africa",0.00122757713249666,0.000633068864438069,1.85903802278383e-05,0.006017468739738
"O12","Eastern Africa",0.00234261843728798,0.00182554745179583,0.000242222414684285,0.00738791597182293
"O12","Southern Africa",0.00194239267428942,0.00134351401797618,0.000142117147070924,0.00711593010132653
"O12","Southern Asia",0.00314952611148817,0.00244265088299974,0.000306173671077568,0.0100020901612929
"O12","Western Africa",0.00233328513492031,0.00155957402313437,0.00015842952626645,0.00904217887515092
"O2a.v1","Eastern Africa",0.0518932069388337,0.0511166168831731,0.0323944053034899,0.0760738899059565
"O2a.v1","Southern Africa",0.0440989787204743,0.0425088174577482,0.02016903515732,0.0773739635698479
"O2a.v1","Southern Asia",0.0986844187586152,0.0975023692342798,0.0655899432596351,0.13912801307587
"O2a.v1","Western Africa",0.0570814676005612,0.052945866855389,0.0204885780564409,0.115861405324044
"O2a.v3","Eastern Africa",0.00133537202469998,0.000835385910028732,3.10971836208129e-05,0.00555810589088706
"O2a.v3","Southern Africa",0.00102912065812774,0.000566595018372433,1.80853830578854e-05,0.00478536709310421
"O2a.v3","Southern Asia",0.0013297461621864,0.000791761671831168,2.77196186697113e-05,0.00569612837900496
"O2a.v3","Western Africa",0.00124208068763229,0.000623202278649244,1.92675959033216e-05,0.00603581121880004
"O2afg.v2","Eastern Africa",0.19698164003555,0.196670862176149,0.157689612398583,0.239329065682742
"O2afg.v2","Southern Africa",0.183307363038675,0.182283380927169,0.128441198112089,0.245125032786495
"O2afg.v2","Southern Asia",0.0884667025098822,0.0874031051266226,0.0559422466602952,0.126582608853479
"O2afg.v2","Western Africa",0.144778098231979,0.141289138359054,0.0743925319095998,0.237364081614456
"O3/O3a","Eastern Africa",0.0203504992754479,0.0195758859179646,0.00943710388518427,0.0353890267027936
"O3/O3a","Southern Africa",0.0305081194345656,0.0288535548107257,0.012444802215945,0.0579115334280564
"O3/O3a","Southern Asia",0.0445841326193197,0.0434082876224758,0.023703313165866,0.0717734980035743
"O3/O3a","Western Africa",0.0326734708833859,0.0293836397358392,0.00974367202565555,0.0747145031752699
"O3b","Eastern Africa",0.0601781944627919,0.0593711686725571,0.0386783373368265,0.0864698268687856
"O3b","Southern Africa",0.0296481484881958,0.0281392128969434,0.0113457917071316,0.0570227832671874
"O3b","Southern Asia",0.0747555911257927,0.0736107372399002,0.0459380278168761,0.110394107141061
"O3b","Western Africa",0.0527656373902883,0.0493636034066984,0.0182543435034172,0.107738928290396
"O4","Eastern Africa",0.0659322140778065,0.0652203044941789,0.0436100847967879,0.092695799298605
"O4","Southern Africa",0.0664928075624063,0.0646344979472496,0.0352626797281465,0.107964804211819
"O4","Southern Asia",0.135140899738674,0.134081531907538,0.0959470944064471,0.180892784989467
"O4","Western Africa",0.0549689604381684,0.051416764671954,0.0190027432927976,0.111844704697715
"O5","Eastern Africa",0.0323268714388723,0.0313763740690056,0.0171674530764201,0.0520816474903369
"O5","Southern Africa",0.133204848441403,0.131593061834245,0.0844507379405293,0.191205958783633
"O5","Southern Asia",0.0504602801887397,0.0493754950185056,0.0278336404582641,0.079167604147786
"O5","Western Africa",0.030711168476041,0.0275091738593987,0.00719280029299789,0.0714936488440334
"OL102","Eastern Africa",0.00102216274638777,0.000630807746440061,2.14121216904936e-05,0.00438674559882703
"OL102","Southern Africa",0.00103091050888446,0.000578672773889647,2.00274788995193e-05,0.00470686972664425
"OL102","Southern Asia",0.00180728434141857,0.00112798322775287,4.09406437555671e-05,0.00753625127556108
"OL102","Western Africa",0.00125383684756116,0.000657390720920303,2.00549936771505e-05,0.00612820396490476
"OL103","Eastern Africa",0.00181084230210117,0.00136154906576422,0.000151044375411511,0.00597590927834961
"OL103","Southern Africa",0.00196129143838042,0.00134794252673834,0.000133169130786236,0.00741068769447741
"OL103","Southern Asia",0.00404720625641724,0.0031555806132852,0.000409996649256459,0.0126076029146491
"OL103","Western Africa",0.00232628440373259,0.00150739277840582,0.000143147140259204,0.00910835256998442
"OL104","Eastern Africa",0.00340345181762219,0.00280634502576657,0.000518527788313648,0.00963253975372735
"OL104","Southern Africa",0.00297010157770636,0.00226159837196743,0.000330236227687424,0.00970008414271415
"OL104","Southern Asia",0.00461395263829764,0.00377251518752698,0.000696131829187879,0.0130559166444974
"OL104","Western Africa",0.00515808862474984,0.00366542303491158,0.000553340692687532,0.0183975280406974
"OL13","Eastern Africa",0.0492908615019184,0.0484060564753606,0.0305960556805592,0.0728445272617476
"OL13","Southern Africa",0.0174298155610969,0.0160186084868184,0.00435507064555136,0.0389703716576283
"OL13","Southern Asia",0.0725188717567109,0.0712742443791355,0.0445148417163023,0.107050326670576
"OL13","Western Africa",0.0566328768142603,0.0524791137223354,0.0199030787301691,0.115490972954703
