"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.279927883487193,0.279811378366414,0.253137446358615,0.306880061694159
"O1.v1","Southern Africa",0.21860320710138,0.217805306394501,0.1692440763483,0.272614245531987
"O1.v1","Southern Asia",0.194520580772031,0.193999533481775,0.160209126517874,0.230561162527592
"O1.v1","Western Africa",0.337147599882312,0.335843438691723,0.236787565390174,0.445252306092319
"O1.v2","Eastern Africa",0.196646920482517,0.196497611230022,0.174072558518879,0.220079037030447
"O1.v2","Southern Africa",0.212625447631759,0.211334484815895,0.165018136702778,0.267261996664822
"O1.v2","Southern Asia",0.122409926965097,0.122010340639302,0.0952212522449754,0.152464115882976
"O1.v2","Western Africa",0.22029670600702,0.217729028304958,0.137517025805988,0.315595555542916
"O1.v3","Eastern Africa",0.00272087129253741,0.00244220507713461,0.000637377500351289,0.00642606606738521
"O1.v3","Southern Africa",0.00120269285439184,0.000717934303291965,4.55589691888795e-05,0.0052492188410732
"O1.v3","Southern Asia",0.00129236723902559,0.000901043730052927,6.97709696633334e-05,0.0047488870047358
"O1.v3","Western Africa",0.00181078922068134,0.000962752212716073,5.67029819503509e-05,0.00867011485625056
"O12","Eastern Africa",0.000834719875033002,0.000606545867695502,6.0800167247034e-05,0.00283334351700355
"O12","Southern Africa",0.000855364268262846,0.000455761672152425,2.33735862810952e-05,0.0040511250586311
"O12","Southern Asia",0.00165721397938493,0.00119558466308394,0.00011596705699123,0.00582202193112649
"O12","Western Africa",0.00130159784430383,0.000592832288686839,2.69548400881587e-05,0.00698290563571317
"O2a.v1","Eastern Africa",0.0470979213110266,0.0468906394430351,0.035298663316556,0.0603278166726425
"O2a.v1","Southern Africa",0.0350216176020596,0.033801032824776,0.0158882102025285,0.0609966249316647
"O2a.v1","Southern Asia",0.0645427181045274,0.0640006766745572,0.0444786268073106,0.0871452041762024
"O2a.v1","Western Africa",0.074100589678184,0.070561168946434,0.0299491534933876,0.137748718941388
"O2a.v3","Eastern Africa",0.000521814210573505,0.000326709665751477,1.20546230225576e-05,0.00218646539337732
"O2a.v3","Southern Africa",0.000472092923620148,0.000189821167074845,3.6059428668394e-06,0.00267832189894243
"O2a.v3","Southern Asia",0.000568268218713065,0.000276295631826922,6.45570290561623e-06,0.00293419128405442
"O2a.v3","Western Africa",0.000687804370371143,0.000230137285961791,4.49107516837676e-06,0.00438953890071237
