"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.252510611764312,0.252415429645029,0.23311380231754,0.272397778152103,"Global"
"O1.v2",0.180701408861206,0.180606499106068,0.163537073567655,0.198398283924407,"Global"
"O1.v3",0.00212775600911488,0.00196493107735094,0.000589465867865601,0.00456456377738191,"Global"
"O12",0.00106627255748781,0.000903174108566129,0.000125473030040632,0.00299844566534089,"Global"
"O2a.v1",0.0512068114703114,0.0510244284923295,0.041886660055817,0.0615028243304151,"Global"
"O2a.v3",0.000527366692628304,0.000357498650241152,1.33302196139008e-05,0.00200105367650434,"Global"
"O2afg.v2",0.249371385198276,0.249349638213713,0.230296530786964,0.268819091255574,"Global"
"O3/O3a",0.0207871837299829,0.0206480499881824,0.0148757151701761,0.0275273354213855,"Global"
"O3b",0.0272369172933997,0.0270900640060966,0.02040136562096,0.0349457628212713,"Global"
"O4",0.122027297198623,0.121902617642921,0.108312726548834,0.136702744071141,"Global"
"O5",0.0384273820065902,0.0382634879646712,0.0303511056955422,0.0473368969796675,"Global"
"OL102",0.000534358074821537,0.000375538148877599,1.2692303435276e-05,0.00191601198670943,"Global"
"OL103",0.00373012855401193,0.00354930722259801,0.00152750794705989,0.0069550895013338,"Global"
"OL104",0.00157845364889462,0.00140132645641888,0.000325901308383663,0.00382694005266286,"Global"
"OL13",0.0485077858194499,0.0483391349863466,0.0393988352991981,0.0585092397878343,"Global"
