Data	N	5 KL	10 KL	15 KL	20 KL
Global	805	36.3 (32.4-40.3)	49.8 (45.3-54.6)	60.2 (55.2-65.4)	69.0 (63.6-74.6)
  Fatal infections	214	40.1 (31.5-49.7)	50.3 (40.5-61.2)	63.7 (52.5-76.3)	74.5 (62.3-88.1)
  ESBL infections	683	38.2 (33.9-42.7)	52.3 (47.3-57.6)	63.5 (57.9-69.4)	72.1 (66.1-78.3)
  CP infections	228	24.0 (18.0-30.7)	41.5 (33.6-50.3)	56.6 (47.1-66.8)	68.5 (58.0-79.8)
Eastern Africa	367	42.1 (36.2-48.6)	55.5 (48.5-62.9)	63.8 (56.3-71.7)	71.0 (63.1-79.4)
  Fatal infections	100	45.5 (32.9-59.8)	54.4 (40.5-69.9)	64.9 (49.7-82.2)	73.6 (57.2-92.0)
  ESBL infections	306	45.0 (38.2-52.2)	59.2 (51.2-67.7)	67.7 (59.2-76.7)	74.3 (65.4-83.7)
  CP infections	5	NA	NA	NA	NA
Southern Africa	151	48.7 (39.1-59.4)	58.1 (47.6-69.5)	71.3 (59.8-84.3)	77.7 (65.4-91.4)
  Fatal infections	46	55.8 (31.4-85.8)	60.2 (34.8-90.7)	77.8 (48.0-100.0)	87.4 (55.1-100.0)
  ESBL infections	117	57.3 (44.7-71.0)	62.1 (48.9-76.7)	78.1 (62.9-94.1)	82.5 (66.9-99.3)
  CP infections	33	68.8 (38.4-100.0)	69.4 (38.8-100.0)	91.1 (55.7-100.0)	91.6 (56.1-100.0)
Western Africa	55	29.8 (18.4-44.1)	37.8 (24.7-53.5)	46.6 (31.8-64.3)	54.9 (38.6-74.3)
  Fatal infections	28	27.8 (12.0-48.5)	38.5 (19.3-62.8)	52.1 (29.3-80.4)	64.4 (37.8-96.4)
  ESBL infections	43	34.9 (19.7-54.0)	43.5 (26.6-64.6)	54.1 (34.8-77.6)	63.4 (42.3-88.9)
  CP infections	17	9.4 (0.4-30.5)	10.3 (0.6-32.2)	11.5 (0.8-34.4)	12.2 (0.9-35.9)
Southern Asia	232	20.8 (15.7-26.5)	38.5 (31.5-46.3)	50.5 (42.4-59.3)	63.6 (54.6-73.7)
  Fatal infections	40	25.7 (12.5-43.1)	42.6 (24.8-64.3)	59.7 (38.1-86.3)	75.2 (50.1-100.0)
  ESBL infections	217	20.7 (15.3-26.7)	39.8 (32.4-47.9)	52.7 (43.9-62.1)	65.8 (55.8-76.4)
  CP infections	173	20.3 (14.3-27.3)	40.8 (32.1-50.4)	56.1 (45.8-67.3)	70.1 (58.4-82.6)
