Genome Name,Cluster,Cluster7,Cluster14,Cluster56,Cluster365,Cluster1SNP,Cluster2SNP,Cluster3SNP,Cluster5SNP,Cluster10SNP,Cluster15SNP,Cluster20SNP,Cluster25SNP,Cluster50SNP
BG113,BG1,BG1,BG1,BG1,BG1,BG1,BG1,BG1,BG1,BG1,BG1,BG1,BG1,BG1
BG265,BG1,BG42,BG1,BG1,BG1,BG43,BG1,BG1,BG1,BG1,BG1,BG1,BG1,BG1
BG1133,BG2,BG2,BG2,BG2,BG2,BG2,BG2,BG2,BG2,BG2,BG2,BG2,BG2,BG2
BG1138,BG3,BG3,BG3,BG3,BG3,BG3,BG3,BG3,BG3,BG3,BG3,BG3,BG3,BG3
BG1318,BG3,BG12,BG4,BG3,BG3,BG15,BG12,BG4,BG4,BG3,BG3,BG3,BG3,BG3
BG1141,BG3,BG4,BG4,BG3,BG3,BG4,BG4,BG4,BG4,BG3,BG3,BG3,BG3,BG3
BG1153,BG3,BG6,BG4,BG3,BG3,BG6,BG6,BG6,BG4,BG3,BG3,BG3,BG3,BG3
BG1314,BG3,BG12,BG4,BG3,BG3,BG12,BG12,BG4,BG4,BG3,BG3,BG3,BG3,BG3
BG1142,BG4,BG5,BG5,BG4,BG4,BG5,BG5,BG5,BG5,BG4,BG4,BG4,BG4,BG4
BG1165,BG5,BG7,BG6,BG5,BG5,BG7,BG7,BG7,BG6,BG5,BG5,BG5,BG5,BG5
BG1173,BG6,BG8,BG7,BG6,BG6,BG8,BG8,BG8,BG7,BG6,BG6,BG6,BG6,BG6
BG127,BG7,BG9,BG8,BG7,BG7,BG9,BG9,BG9,BG8,BG7,BG7,BG7,BG7,BG7
BG243,BG7,BG9,BG8,BG7,BG7,BG9,BG9,BG9,BG8,BG7,BG7,BG7,BG7,BG7
BG1305,BG8,BG10,BG9,BG8,BG8,BG10,BG10,BG10,BG9,BG8,BG8,BG8,BG8,BG8
BG1308,BG9,BG11,BG10,BG9,BG9,BG11,BG11,BG11,BG10,BG9,BG9,BG9,BG9,BG9
BG1315,BG10,BG13,BG11,BG10,BG10,BG13,BG13,BG12,BG11,BG10,BG10,BG10,BG10,BG10
BG1317,BG11,BG14,BG12,BG11,BG11,BG14,BG14,BG13,BG12,BG11,BG11,BG11,BG11,BG11
BG1320,BG12,BG15,BG13,BG12,BG12,BG16,BG15,BG14,BG13,BG12,BG12,BG12,BG12,BG12
BG150,BG13,BG16,BG14,BG13,BG13,BG17,BG16,BG15,BG14,BG13,BG13,BG13,BG13,BG13
BG31,BG13,BG16,BG14,BG13,BG13,BG17,BG16,BG15,BG14,BG13,BG13,BG13,BG13,BG13
BG88,BG13,BG16,BG14,BG13,BG13,BG17,BG16,BG15,BG14,BG13,BG13,BG13,BG13,BG13
BG1517,BG14,BG17,BG15,BG14,BG14,BG18,BG17,BG16,BG15,BG14,BG14,BG14,BG14,BG14
BG1519,BG14,BG18,BG16,BG14,BG14,BG18,BG17,BG16,BG15,BG14,BG14,BG14,BG14,BG14
BG1524,BG15,BG19,BG17,BG15,BG15,BG19,BG18,BG17,BG16,BG15,BG15,BG15,BG15,BG15
BG164,BG16,BG20,BG18,BG16,BG16,BG20,BG19,BG18,BG17,BG16,BG16,BG16,BG16,BG16
BG354,BG16,BG20,BG18,BG16,BG16,BG20,BG19,BG18,BG17,BG16,BG16,BG16,BG16,BG16
BG1679,BG17,BG21,BG19,BG17,BG17,BG21,BG20,BG19,BG18,BG17,BG17,BG17,BG17,BG17
BG1723,BG18,BG22,BG20,BG18,BG18,BG22,BG21,BG20,BG19,BG18,BG18,BG18,BG18,BG18
BG1850,BG19,BG23,BG21,BG19,BG19,BG23,BG22,BG21,BG20,BG19,BG19,BG19,BG19,BG19
BG1956,BG20,BG24,BG22,BG20,BG6,BG24,BG23,BG22,BG21,BG20,BG20,BG20,BG20,BG20
BG2000,BG20,BG28,BG26,BG20,BG6,BG28,BG27,BG26,BG21,BG20,BG20,BG20,BG20,BG20
BG1969,BG21,BG25,BG23,BG21,BG20,BG25,BG24,BG23,BG22,BG21,BG21,BG21,BG21,BG21
BG2035,BG21,BG25,BG23,BG21,BG20,BG30,BG29,BG28,BG22,BG21,BG21,BG21,BG21,BG21
BG2036,BG21,BG25,BG23,BG21,BG20,BG31,BG30,BG29,BG22,BG21,BG21,BG21,BG21,BG21
BG1997,BG22,BG26,BG24,BG22,BG21,BG26,BG25,BG24,BG23,BG22,BG22,BG22,BG22,BG22
BG1999,BG23,BG27,BG25,BG23,BG22,BG27,BG26,BG25,BG24,BG23,BG23,BG23,BG23,BG23
BG2032,BG24,BG29,BG27,BG24,BG23,BG29,BG28,BG27,BG25,BG24,BG24,BG24,BG24,BG24
BG2046,BG25,BG30,BG28,BG25,BG24,BG32,BG31,BG30,BG26,BG25,BG25,BG25,BG25,BG25
BG2047,BG25,BG31,BG28,BG25,BG24,BG33,BG32,BG31,BG26,BG25,BG25,BG25,BG25,BG25
BG2048,BG26,BG32,BG29,BG26,BG8,BG34,BG33,BG32,BG27,BG26,BG26,BG26,BG26,BG26
BG213,BG27,BG33,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG214,BG27,BG33,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG215,BG27,BG33,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG218,BG27,BG33,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG219,BG27,BG33,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG222,BG27,BG33,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG223,BG27,BG33,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG224,BG27,BG33,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG255,BG27,BG33,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG263,BG27,BG41,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG264,BG27,BG41,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG271,BG27,BG33,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG272,BG27,BG33,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG2053,BG28,BG34,BG31,BG28,BG26,BG36,BG35,BG34,BG29,BG28,BG28,BG28,BG28,BG28
BG316,BG27,BG49,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG2144,BG29,BG35,BG32,BG29,BG9,BG37,BG36,BG35,BG30,BG29,BG29,BG29,BG29,BG29
BG2170,BG29,BG36,BG33,BG29,BG9,BG38,BG37,BG36,BG31,BG29,BG29,BG29,BG29,BG29
BG238,BG31,BG38,BG35,BG31,BG28,BG40,BG39,BG38,BG33,BG31,BG31,BG31,BG31,BG31
BG310,BG31,BG38,BG35,BG31,BG28,BG40,BG39,BG38,BG33,BG31,BG31,BG31,BG31,BG31
BG249,BG32,BG39,BG36,BG32,BG23,BG41,BG40,BG39,BG34,BG32,BG32,BG32,BG32,BG32
BG83,BG32,BG110,BG98,BG32,BG23,BG41,BG40,BG39,BG34,BG32,BG32,BG32,BG32,BG32
BG95,BG32,BG110,BG98,BG32,BG23,BG41,BG40,BG39,BG34,BG32,BG32,BG32,BG32,BG32
BG254,BG33,BG40,BG37,BG33,BG29,BG42,BG41,BG40,BG35,BG33,BG33,BG33,BG33,BG33
BG258,BG33,BG40,BG37,BG33,BG29,BG42,BG41,BG40,BG35,BG33,BG33,BG33,BG33,BG33
BG259,BG33,BG40,BG37,BG33,BG29,BG42,BG41,BG40,BG35,BG33,BG33,BG33,BG33,BG33
BG315,BG33,BG40,BG37,BG33,BG29,BG42,BG41,BG40,BG35,BG33,BG33,BG33,BG33,BG33
BG314,BG27,BG48,BG43,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG449,BG27,BG74,BG30,BG27,BG25,BG35,BG34,BG33,BG28,BG27,BG27,BG27,BG27,BG27
BG28,BG34,BG43,BG38,BG34,BG30,BG44,BG42,BG41,BG36,BG34,BG34,BG34,BG34,BG34
BG298,BG35,BG44,BG39,BG35,BG24,BG45,BG43,BG42,BG37,BG35,BG35,BG35,BG35,BG35
BG303,BG35,BG44,BG39,BG35,BG24,BG45,BG43,BG42,BG37,BG35,BG35,BG35,BG35,BG35
BG307,BG36,BG45,BG40,BG36,BG31,BG46,BG44,BG43,BG38,BG36,BG36,BG36,BG36,BG36
BG308,BG37,BG46,BG41,BG37,BG32,BG47,BG45,BG44,BG39,BG37,BG37,BG37,BG37,BG37
BG309,BG37,BG46,BG41,BG37,BG32,BG47,BG45,BG44,BG39,BG37,BG37,BG37,BG37,BG37
BG313,BG38,BG47,BG42,BG38,BG33,BG48,BG46,BG45,BG40,BG38,BG38,BG38,BG38,BG38
BG317,BG39,BG50,BG44,BG33,BG29,BG49,BG47,BG46,BG41,BG39,BG39,BG39,BG39,BG39
BG319,BG40,BG51,BG45,BG39,BG34,BG50,BG48,BG47,BG42,BG40,BG40,BG40,BG40,BG40
BG321,BG41,BG52,BG46,BG40,BG35,BG51,BG49,BG48,BG43,BG41,BG41,BG41,BG41,BG41
BG32,BG42,BG53,BG47,BG33,BG29,BG52,BG50,BG49,BG44,BG42,BG42,BG42,BG42,BG42
BG377,BG44,BG64,BG57,BG42,BG37,BG62,BG52,BG51,BG46,BG44,BG44,BG44,BG44,BG44
BG379,BG44,BG64,BG57,BG42,BG37,BG54,BG52,BG51,BG46,BG44,BG44,BG44,BG44,BG44
BG383,BG44,BG64,BG57,BG42,BG37,BG54,BG52,BG51,BG46,BG44,BG44,BG44,BG44,BG44
BG332,BG45,BG56,BG50,BG43,BG38,BG55,BG53,BG52,BG47,BG45,BG45,BG45,BG45,BG45
BG337,BG45,BG58,BG50,BG43,BG38,BG55,BG53,BG52,BG47,BG45,BG45,BG45,BG45,BG45
BG375,BG45,BG56,BG50,BG43,BG38,BG55,BG53,BG52,BG47,BG45,BG45,BG45,BG45,BG45
BG382,BG45,BG56,BG50,BG43,BG38,BG55,BG53,BG52,BG47,BG45,BG45,BG45,BG45,BG45
BG387,BG45,BG56,BG50,BG43,BG38,BG55,BG53,BG52,BG47,BG45,BG45,BG45,BG45,BG45
BG421,BG45,BG56,BG50,BG43,BG38,BG55,BG53,BG52,BG47,BG45,BG45,BG45,BG45,BG45
BG333,BG46,BG57,BG51,BG44,BG39,BG56,BG54,BG53,BG48,BG46,BG46,BG46,BG46,BG46
BG344,BG47,BG59,BG52,BG45,BG40,BG57,BG55,BG54,BG49,BG47,BG47,BG47,BG47,BG47
BG353,BG48,BG60,BG53,BG46,BG41,BG58,BG56,BG55,BG50,BG48,BG48,BG48,BG48,BG48
BG361,BG49,BG61,BG54,BG47,BG42,BG59,BG57,BG56,BG51,BG49,BG49,BG49,BG49,BG49
BG370,BG50,BG62,BG55,BG7,BG7,BG60,BG58,BG57,BG52,BG50,BG50,BG50,BG50,BG50
BG392,BG50,BG65,BG55,BG7,BG7,BG60,BG58,BG57,BG52,BG50,BG50,BG50,BG50,BG50
BG374,BG51,BG63,BG56,BG48,BG4,BG61,BG59,BG58,BG53,BG51,BG51,BG51,BG51,BG51
BG458,BG51,BG79,BG70,BG48,BG4,BG73,BG70,BG69,BG53,BG51,BG51,BG51,BG51,BG51
BG435,BG44,BG70,BG62,BG42,BG37,BG54,BG52,BG51,BG46,BG44,BG44,BG44,BG44,BG44
BG402,BG52,BG66,BG58,BG49,BG43,BG63,BG60,BG59,BG54,BG52,BG52,BG52,BG52,BG52
BG405,BG53,BG67,BG59,BG50,BG44,BG64,BG61,BG60,BG55,BG53,BG53,BG53,BG53,BG53
BG441,BG45,BG71,BG63,BG43,BG38,BG55,BG53,BG52,BG47,BG45,BG45,BG45,BG45,BG45
BG442,BG56,BG72,BG64,BG53,BG8,BG67,BG64,BG63,BG58,BG56,BG56,BG56,BG56,BG56
BG443,BG57,BG73,BG65,BG54,BG24,BG68,BG65,BG64,BG59,BG57,BG57,BG57,BG57,BG57
BG444,BG57,BG73,BG65,BG54,BG24,BG68,BG65,BG64,BG59,BG57,BG57,BG57,BG57,BG57
BG533,BG57,BG73,BG65,BG54,BG24,BG83,BG65,BG64,BG59,BG57,BG57,BG57,BG57,BG57
BG453,BG58,BG75,BG66,BG55,BG47,BG69,BG66,BG65,BG60,BG58,BG58,BG58,BG58,BG58
BG454,BG59,BG76,BG67,BG56,BG48,BG70,BG67,BG66,BG61,BG59,BG59,BG59,BG59,BG59
BG455,BG60,BG77,BG68,BG57,BG49,BG71,BG68,BG67,BG62,BG60,BG60,BG60,BG60,BG60
BG456,BG61,BG78,BG69,BG58,BG50,BG72,BG69,BG68,BG63,BG61,BG61,BG61,BG61,BG61
BG463,BG62,BG80,BG71,BG59,BG20,BG74,BG71,BG70,BG64,BG62,BG62,BG62,BG62,BG62
BG465,BG63,BG81,BG72,BG60,BG51,BG75,BG72,BG71,BG65,BG63,BG63,BG63,BG63,BG63
BG470,BG64,BG82,BG73,BG61,BG52,BG76,BG73,BG72,BG66,BG64,BG64,BG64,BG64,BG64
BG473,BG65,BG83,BG74,BG62,BG53,BG77,BG74,BG73,BG67,BG65,BG65,BG65,BG65,BG65
BG474,BG65,BG83,BG74,BG62,BG53,BG77,BG74,BG73,BG67,BG65,BG65,BG65,BG65,BG65
BG475,BG66,BG84,BG75,BG63,BG54,BG78,BG75,BG74,BG68,BG66,BG66,BG66,BG66,BG66
BG515,BG67,BG85,BG76,BG64,BG55,BG79,BG76,BG75,BG69,BG67,BG67,BG67,BG67,BG67
BG517,BG68,BG86,BG77,BG43,BG38,BG80,BG77,BG76,BG70,BG68,BG68,BG68,BG68,BG68
BG521,BG70,BG88,BG79,BG66,BG57,BG82,BG79,BG78,BG72,BG70,BG70,BG70,BG70,BG70
BG540,BG71,BG90,BG80,BG67,BG24,BG84,BG80,BG79,BG73,BG71,BG57,BG57,BG57,BG57
BG541,BG72,BG91,BG81,BG68,BG58,BG85,BG81,BG80,BG74,BG72,BG71,BG71,BG71,BG71
BG555,BG73,BG92,BG82,BG69,BG59,BG86,BG82,BG81,BG75,BG73,BG72,BG72,BG72,BG72
BG564,BG75,BG94,BG84,BG71,BG5,BG88,BG84,BG83,BG77,BG75,BG74,BG74,BG74,BG74
BG566,BG77,BG96,BG86,BG73,BG34,BG90,BG86,BG85,BG79,BG77,BG76,BG76,BG76,BG76
BG661,BG77,BG100,BG86,BG73,BG34,BG95,BG91,BG90,BG80,BG77,BG76,BG76,BG76,BG76
BG662,BG77,BG100,BG86,BG73,BG34,BG95,BG91,BG90,BG80,BG77,BG76,BG76,BG76,BG76
BG767,BG77,BG100,BG86,BG73,BG34,BG102,BG98,BG97,BG90,BG77,BG76,BG76,BG76,BG76
BG774,BG77,BG107,BG86,BG73,BG34,BG102,BG98,BG97,BG90,BG77,BG76,BG76,BG76,BG76
BG594,BG78,BG97,BG87,BG74,BG31,BG92,BG88,BG87,BG81,BG78,BG77,BG77,BG77,BG77
BG64,BG79,BG98,BG88,BG75,BG62,BG93,BG89,BG88,BG82,BG79,BG78,BG78,BG78,BG78
BG65,BG80,BG99,BG89,BG76,BG63,BG94,BG90,BG89,BG83,BG80,BG79,BG79,BG79,BG79
BG668,BG81,BG101,BG90,BG77,BG36,BG96,BG92,BG91,BG84,BG81,BG80,BG80,BG80,BG80
BG670,BG82,BG102,BG91,BG78,BG64,BG97,BG93,BG92,BG85,BG82,BG81,BG81,BG81,BG81
BG678,BG83,BG103,BG92,BG79,BG26,BG98,BG94,BG93,BG86,BG83,BG82,BG82,BG82,BG82
BG710,BG84,BG104,BG93,BG80,BG65,BG99,BG95,BG94,BG87,BG84,BG83,BG83,BG83,BG83
BG72,BG85,BG105,BG94,BG81,BG66,BG100,BG96,BG95,BG88,BG85,BG84,BG84,BG84,BG84
BG74,BG86,BG106,BG95,BG82,BG67,BG101,BG97,BG96,BG89,BG86,BG85,BG85,BG85,BG85
