Genome Name,Study,Region,Country,Site,Cluster,Year,Mortality,N50,contig_count,total_size,resistance_score,ST,K_locus,K_type,K_locus_confidence,O_locus,O_type,O_locus_confidence,O_genotype,O_locus_variant
BG113,BabyGERMS,Southern Africa,South Africa,30,BG1,2019,0,427899,55,5591870,2,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG265,BabyGERMS,Southern Africa,South Africa,30,BG1,2019,0,370004,46,5491837,2,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG1133,BabyGERMS,Southern Africa,South Africa,35,BG2,2020,0,174653,136,5498636,0,ST36,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG1138,BabyGERMS,Southern Africa,South Africa,34,BG3,2020,1,244540,122,5845718,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG1318,BabyGERMS,Southern Africa,South Africa,34,BG3,2020,NA,214866,121,5846821,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG1141,BabyGERMS,Southern Africa,South Africa,34,BG3,2020,1,244540,115,5846898,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG1153,BabyGERMS,Southern Africa,South Africa,34,BG3,2020,NA,214810,112,5841110,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG1314,BabyGERMS,Southern Africa,South Africa,34,BG3,2020,1,244540,112,5843125,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG1142,BabyGERMS,Southern Africa,South Africa,34,BG4,2020,NA,214889,166,5593625,1,ST607,KL25,K25,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG1165,BabyGERMS,Southern Africa,South Africa,32,BG5,2020,0,200560,97,5548175,1,ST22,KL9,K9,Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG1173,BabyGERMS,Southern Africa,South Africa,34,BG6,2020,NA,135412,174,5676581,1,ST377,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG127,BabyGERMS,Southern Africa,South Africa,33,BG7,2019,0,144971,158,5675271,1,ST348,KL62,K62,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG243,BabyGERMS,Southern Africa,South Africa,33,BG7,2019,NA,305708,63,5696064,1,ST348,KL62,K62,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG1305,BabyGERMS,Southern Africa,South Africa,30,BG8,2020,1,169802,133,5754626,2,ST25,KL2,K2,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG1308,BabyGERMS,Southern Africa,South Africa,30,BG9,2020,1,189131,183,5577765,2,ST39,KL62,K62,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG1315,BabyGERMS,Southern Africa,South Africa,35,BG10,2020,NA,224357,100,5515844,1,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG1317,BabyGERMS,Southern Africa,South Africa,34,BG11,2020,NA,237542,99,5422916,1,ST4872,KL39,K39,Typeable,O3b,O3b,Typeable,O3b,O3b
BG1320,BabyGERMS,Southern Africa,South Africa,34,BG12,2020,0,297472,64,5456249,1,ST1207,KL136,unknown (KL136),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG150,BabyGERMS,Southern Africa,South Africa,31,BG13,2019,0,196828,99,5361006,0,ST950,KL7,K7,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG31,BabyGERMS,Southern Africa,South Africa,31,BG13,2019,NA,196828,91,5347131,0,ST950,KL7,K7,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG88,BabyGERMS,Southern Africa,South Africa,31,BG13,2019,0,196828,84,5353613,0,ST950,KL7,K7,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG1517,BabyGERMS,Southern Africa,South Africa,33,BG14,2020,1,56825,174,5382344,0,ST76,KL10,K10,Typeable,O3/O3a,O3/O3a,Typeable,O3/O3a,O3/O3a
BG1519,BabyGERMS,Southern Africa,South Africa,33,BG14,2020,0,56825,174,5382344,0,ST76,KL10,K10,Typeable,O3/O3a,O3/O3a,Typeable,O3/O3a,O3/O3a
BG1524,BabyGERMS,Southern Africa,South Africa,34,BG15,2020,0,132231,128,5519194,1,ST170,KL54,K54,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG164,BabyGERMS,Southern Africa,South Africa,32,BG16,2019,0,196787,82,5471902,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG354,BabyGERMS,Southern Africa,South Africa,32,BG16,2019,0,201706,78,5473741,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG1679,BabyGERMS,Southern Africa,South Africa,32,BG17,2020,NA,145371,102,5455658,0,ST997,KL102,unknown (KL102),Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
BG1723,BabyGERMS,Southern Africa,South Africa,32,BG18,2020,NA,149113,106,5581540,1,ST13,KL3,K3,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG1850,BabyGERMS,Southern Africa,South Africa,30,BG19,2020,NA,205984,125,5484670,1,ST37,KL15,K15,Typeable,O4,O4,Typeable,O4,O4
BG1956,BabyGERMS,Southern Africa,South Africa,34,BG20,2020,1,135089,173,5758913,1,ST377,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG2000,BabyGERMS,Southern Africa,South Africa,34,BG20,2020,1,124494,178,5751355,1,ST377,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG1969,BabyGERMS,Southern Africa,South Africa,31,BG21,2020,0,148306,121,5526350,1,ST607,KL25,K25,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG2035,BabyGERMS,Southern Africa,South Africa,31,BG21,2020,0,154811,119,5538191,1,ST607,KL25,K25,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG2036,BabyGERMS,Southern Africa,South Africa,31,BG21,2020,0,132940,169,5653713,1,ST607,KL25,K25,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG1997,BabyGERMS,Southern Africa,South Africa,32,BG22,2020,NA,148511,123,5596183,1,ST1552,KL25,K25,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG1999,BabyGERMS,Southern Africa,South Africa,32,BG23,2020,NA,94415,155,5778094,1,ST25,KL2,K2,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG2032,BabyGERMS,Southern Africa,South Africa,31,BG24,2020,0,122728,164,5509017,1,ST1414,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG2046,BabyGERMS,Southern Africa,South Africa,33,BG25,2020,0,152672,100,5487877,2,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG2047,BabyGERMS,Southern Africa,South Africa,33,BG25,2020,0,193787,89,5501873,2,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG2048,BabyGERMS,Southern Africa,South Africa,30,BG26,2020,0,127323,141,5804129,2,ST25,KL2,K2,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG213,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,0,225774,95,5581171,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG214,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,0,211044,90,5585632,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG215,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,1,204917,86,5585736,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG218,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,0,225843,101,5633045,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG219,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,1,152981,115,5628389,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG222,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,NA,204233,93,5584389,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
